ORIGINAL_VARNAME,VARNAME,STANDARD_NAME,LONG_NAME,UNITS,COMMENT,ANCILLARY_VARIABLES,VALID_MIN,VALID_MAX,REFERENCE_DATUM,POSITIVE
time,TIME,time,time,days since 1950-01-01 00:00:00 UTC,,,,,,
hs,WSSH,sea_surface_wave_spectral_significant_height,sea surface wave spectral significant height,m,Analysed by spectral method,,0,100,,
tp,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,,s,Analysed by spectral method. Period of the peak of the energy spectrum,,0,50,,
tm,WPFM,sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment,,s,Analysed by spectral method. The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,,0,50,,
dp,WPDI,sea_surface_wave_from_direction_at_variance_spectral_density_maximum,,degree,Analysed by spectral method,,0,360,magnetic north,clockwise
dm,WPDM,sea_surface_mean_wave_from_direction,,degree,Analysed by spectral method,,0,360,magnetic north,clockwise
pkspr,WSPP,sea_surface_peak_wave_spreading,,degree,Analysed by spectral method,,0,360,,
meanspr,WSPM,sea_surface_mean_wave_spreading,,degree,Analysed by spectral method,,0,360,,
temp,TEMP,sea_water_temperature,sea water temperature at sea surface,degrees celsius,Measured on board ,,0,50,buoy,
qf15,QF15,quality flag,flag for QARTOD Test 15,-,Quality controls for bulk parameters followed QARTOD/IOOS standards. These included range test (QARTOD Test 19). Pass = 1; suspect = 3; fail = 4 ,,1,4,,
qf16,QF16,quality flag,flag for QARTOD Test 16,,,,,,,
qf19,QF19,quality flag,flag for QARTOD Test 19,,,,,,,
lat,LATITUDE,latitude,,"degree South, WGS84",,,0,-90,,
lon,LONGITUDE,longitude,,"degree East, WGS84",,,0,180,,
