Time (UTC), Site, BuoyID, Hsig (m), Tp (s), Tm (s), Dp (deg), DpSpr (deg), Dm (deg), DmSpr (deg), QF_waves, SST (degC), QF_sst, Bottom Temp (degC), QF_bott_temp, WindSpeed (m/s), WindDirec (deg), CurrmentMag (m/s), CurrentDir (deg) 
1612657407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.0,4,-9999.0,4,4.80,337.00,-9999.00,-9999.00 
1612659207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,320.00,-9999.00,-9999.00 
1612661007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.20,297.00,-9999.00,-9999.00 
1612662807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,308.00,-9999.00,-9999.00 
1612664607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,4.80,297.00,-9999.00,-9999.00 
1612666407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,314.00,-9999.00,-9999.00 
1612668207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612670007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,354.00,-9999.00,-9999.00 
1612671807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,4.00,308.00,-9999.00,-9999.00 
1612673607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,342.00,-9999.00,-9999.00 
1612675407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,4.80,302.00,-9999.00,-9999.00 
1612677207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,342.00,-9999.00,-9999.00 
1612679007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,4.40,308.00,-9999.00,-9999.00 
1612680807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612682607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,4.40,337.00,-9999.00,-9999.00 
1612684407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612686207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.3,4,-9999.0,4,5.20,348.00,-9999.00,-9999.00 
1612688007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612689807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.2,4,-9999.0,4,4.40,325.00,-9999.00,-9999.00 
1612691607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,354.00,-9999.00,-9999.00 
1612693407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.60,0.00,-9999.00,-9999.00 
1612695207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.20,314.00,-9999.00,-9999.00 
1612697007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,4.80,325.00,-9999.00,-9999.00 
1612698807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,342.00,-9999.00,-9999.00 
1612700607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,5.60,354.00,-9999.00,-9999.00 
1612702407,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,5.60,308.00,-9999.00,-9999.00 
1612704207,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.1,4,-9999.0,4,4.40,302.00,-9999.00,-9999.00 
1612706007,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,308.00,-9999.00,-9999.00 
1612707807,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,29.0,4,-9999.0,4,4.80,314.00,-9999.00,-9999.00 
1612709607,Dampier,SPOT-0561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,-9999.0,4,-9999.0,4,4.80,308.00,-9999.00,-9999.00 
