ovarname,varname,standard_name,long_name,units,axis,calendar,sampling_period_timestamp_location,valid_min,valid_max,reference_datum,positive,observation_type,coordinates,method,ancillary_variables,flag_values,flag_meanings,quality_control_convention,comment
time,TIME,time,time,days since 1950-01-01 00:00:00 UTC,T,gregorian,end,,,,,,,,,,,,
lat,LATITUDE,latitude,latitude of each observation,degrees_north,Y,,,-90,90,WGS84 coordinate reference system; EPSG:4326,,,,,,,,,
lon,LONGITUDE,longitude,longitude of each observation,degrees_east,X,,,-180,180,WGS84 coordinate reference system; EPSG:4326,,,,,,,,,
hs,WSSH,sea_surface_wave_significant_height,sea surface wave spectral significant height,m,,,,0,20,,,,TIME LATITUDE LONGITUDE,Spectral analysis method,WAVE_quality_control,,,,
tm,WPFM,sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment,sea surface wave spectral mean period,s,,,,0,30,,,,TIME LATITUDE LONGITUDE,Spectral analysis method.The first wave period is calculated as m0/m1 where m0 and m1 are the zeroth order and first order moments of the wave spectrum,WAVE_quality_control,,,,
tp,WPPE,sea_surface_wave_period_at_variance_spectral_density_maximum,peak wave spectral period,s,,,,0,30,,,,TIME LATITUDE LONGITUDE,Spectral analysis method. Period of the peak of the energy spectrum,WAVE_quality_control,,,,
dm,SSWMD,sea_surface_wave_from_direction,spectral sea surface wave mean direction,degree,,,,0,360,true north,clockwise,,TIME LATITUDE LONGITUDE,Spectral analysis method. Direction (related to the true north direct from instrument) from which the mean period waves are coming from,WAVE_quality_control,,,,
dp,WPDI,sea_surface_wave_from_direction_at_variance_spectral_density_maximum,spectral peak wave direction,degree,,,,0,360,true north,clockwise,,TIME LATITUDE LONGITUDE,Spectral analysis method. Direction (related to the true north direct from instrument) from which the peak period waves are coming from,WAVE_quality_control,,,,
meanspr,WMDS,sea_surface_wave_directional_spread,spectral sea surface wave mean directional spread,degree,,,,0,360,true north,clockwise,,TIME LATITUDE LONGITUDE,Spectral analysis method,WAVE_quality_control,,,,
pkspr,WPDS,sea_surface_wave_directional_spread_at_variance_spectral_density_maximum,spectral sea surface wave peak directional spread,degree,,,,0,360,true north,clockwise,,TIME LATITUDE LONGITUDE,Spectral analysis method,WAVE_quality_control,,,,
surf_temp,TEMP,sea_water_temperature,sea water tempearture at sea surface,degrees_Celsius,,,,0,40,,,measured,TIME LATITUDE LONGITUDE,Measured using thermistor embedded in wave buoy hull ,TEMP_quality_control,,,,
qc_flag_wave,WAVE_quality_control,,primary Quality Control flag for wave variables,,,,,1,9,,,,,,,1 2 3 4 9,good not_evaluated questionable bad missing,Ocean Data Standards: UNESCO 2013 - IOC Manuals and Guides: 54: Volume 3 Version 1,
qc_flag_temp,TEMP_quality_control,,primary Quality Control flag for temperature variables,,,,,1,9,,,,,,,1 2 3 4 9,good not_evaluated questionable bad missing,Ocean Data Standards: UNESCO 2013 - IOC Manuals and Guides: 54: Volume 3 Version 1,
